population,hdi,gdp_ppp,ppp_pc,overall score,financial freedom,tax burden,name,mipex_score,labor freedom,fiscal health,government integrity,business freedom,gdp,rank,monetary freedom,investment freedom,trade freedom,property rights,government spending,norm_name,index year,judicial effectiveness
,0.702,36999.0,,56.3,40.0,75.8,gabon,,53.0,82.1,35.5,52.1,,,80.0,60.0,51.2,28.1,86.6,gabon,2019.0,30.6
,0.785,36198.0,,66.5,70.0,86.3,albania,,52.7,80.6,40.4,69.3,,,81.5,70.0,87.8,54.8,73.9,albania,2019.0,30.6
,0.658,35835.0,,57.7,50.0,76.9,nicaragua,,55.8,93.9,20.3,56.0,,,72.7,60.0,76.0,33.4,79.1,nicaragua,2019.0,18.7
,0.423,35598.0,,59.4,40.0,81.9,burkina faso,,52.3,61.8,36.6,51.6,,,86.2,65.0,65.2,49.1,80.0,burkina faso,2019.0,42.9
,,32838.0,,65.1,50.0,90.7,brunei darussalam,,90.8,20.0,43.7,80.2,,,76.5,65.0,84.0,64.0,59.9,brunei darussalam,2019.0,56.0
,,31924.0,,71.1,60.0,91.8,macedonia,,71.5,82.9,44.7,80.2,,,78.7,65.0,82.0,65.1,70.0,macedonia,2019.0,60.7
,0.591,30807.0,,41.0,30.0,71.3,equatorial guinea,,32.7,16.4,15.8,37.6,,,83.7,40.0,48.8,29.7,67.6,equatorial guinea,2019.0,18.1
,,30607.0,,39.7,30.0,59.5,republic of congo,,35.8,0.0,25.3,38.2,,,82.6,45.0,56.8,33.2,40.6,republic of congo,2019.0,29.6
,0.535,29795.0,,40.4,10.0,62.3,zimbabwe,,43.3,23.7,15.8,33.4,,,72.4,25.0,70.0,29.7,74.5,zimbabwe,2019.0,24.8
,0.404,29730.0,,49.9,40.0,46.1,chad,,43.2,85.2,23.2,28.1,,,82.3,60.0,47.2,26.7,92.4,chad,2019.0,24.6
,0.544,29481.0,,58.4,30.0,71.8,papua new guinea,,72.6,75.2,37.2,62.2,,,70.0,25.0,80.9,37.4,89.1,papua new guinea,2019.0,49.0
,0.65,27802.0,,55.6,30.0,91.8,tajikistan,,49.2,60.3,36.4,67.3,,,68.5,25.0,73.6,47.8,64.6,tajikistan,2019.0,52.1
,0.79,27507.0,,73.0,70.0,92.1,mauritius,,60.8,73.6,40.3,79.8,,,79.4,80.0,88.4,69.5,80.3,mauritius,2019.0,62.1
,0.647,27451.0,,58.7,40.0,66.5,namibia,,85.1,15.7,49.8,65.8,,,74.4,65.0,83.0,55.9,48.9,namibia,2019.0,54.7
,0.755,27116.0,,67.7,70.0,84.7,armenia,,71.4,53.0,38.6,78.3,,,77.8,75.0,80.8,57.2,79.0,armenia,2019.0,46.3
,,26474.0,,68.6,50.0,80.2,jamaica,,73.6,80.0,45.0,78.0,,,82.6,80.0,68.4,60.7,76.0,jamaica,2019.0,49.2
,0.515,25407.0,,55.3,50.0,69.3,benin,,53.8,27.9,28.1,62.4,,,86.4,70.0,61.8,37.2,83.4,benin,2019.0,32.8
,0.524,24717.0,,71.1,40.0,79.8,rwanda,,82.2,86.3,67.9,56.2,,,76.1,60.0,70.4,72.2,79.4,rwanda,2019.0,83.2
,,22737.0,,62.3,50.0,94.1,kyrgyz republic,,79.8,78.4,27.2,73.4,,,74.4,60.0,78.6,49.9,54.2,kyrgyz republic,2019.0,27.9
,0.477,22577.0,,51.4,50.0,79.8,malawi,,64.0,19.1,25.2,41.7,,,65.5,50.0,75.4,35.8,70.3,malawi,2019.0,40.1
,,22405.0,,67.0,30.0,92.5,kosovo,,64.9,96.0,44.7,73.8,,,78.3,65.0,70.8,57.2,77.7,kosovo,2019.0,53.5
,0.354,21655.0,,51.6,40.0,76.9,niger,,48.2,22.2,34.1,56.3,,,76.7,55.0,65.8,37.2,75.6,niger,2019.0,31.0
